Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
Epb4.1l1,NM_001006664,570,386,141,106,478,123.5,-3.870445344,2.24E-18
Kcnq2,NM_001006668,0,0,0,0,0,0,0,1
Kcnq2,NM_001006669,0,0,0,0,0,0,0,1
Kcnq2,NM_001006674,0,0,0,0,0,0,0,1
Kcnq2,NM_001006675,0,0,0,0,0,0,0,1
Kcnq2,NM_001006676,0,0,0,0,0,0,0,1
Kcnq2,NM_001006677,0,0,0,0,0,0,0,1
Kcnq2,NM_001006678,0,0,0,0,0,0,0,1
Kcnq2,NM_001006679,0,0,1,0,0,0.5,0,1
Kcnq2,NM_001006680,0,0,1,0,0,0.5,0,1
Gm13023,NM_001007077,0,0,0,0,0,0,0,1
Phactr3,NM_001007154,0,0,0,0,0,0,0,1
Adam22,NM_001007220,0,0,0,0,0,0,0,1
Adam22,NM_001007221,0,0,0,0,0,0,0,1
Tdpoz2,NM_001007222,0,0,0,0,0,0,0,1
Clec3a,NM_001007223,0,0,0,0,0,0,0,1
Taar2,NM_001007266,0,0,0,0,0,0,0,1
Dusp13,NM_001007268,4,3,1,0,3.5,0.5,-7,0.291005127
Zdhhc23,NM_001007460,0,0,0,0,0,0,0,1
Gsdma3,NM_001007461,0,0,0,0,0,0,0,1
Pabpn1l,NM_001007462,0,0,0,0,0,0,0,1
Spag8,NM_001007463,0,0,0,0,0,0,0,1
Rffl,NM_001007465,1183,847,1495,1393,1015,1444,1.422660099,3.16E-32
Noto,NM_001007472,0,0,0,0,0,0,0,1
Slc7a6os,NM_001007567,575,419,334,317,497,325.5,-1.52688172,0.725050256
Zfp251,NM_001007568,756,552,119,112,654,115.5,-5.662337662,7.32E-39
Pnmal1,NM_001007569,0,0,0,0,0,0,0,1
Slc25a42,NM_001007570,52,34,6,10,43,8,-5.375,2.71E-05
D8Ertd738e,NM_001007571,1466,1236,698,680,1351,689,-1.960812772,0.030595173
Trpv5,NM_001007572,0,0,0,0,0,0,0,1
Maneal,NM_001007573,0,0,0,0,0,0,0,1
